"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","genres","language","description","popularity","vote_count","vote_average","budget","revenue"
"1404380","Movie","Saptha Kandam","Prasanth Sasi","Sreelakshmi Aravindakshan","India","2024-12-06","2024","0.0","","Drama, Romance","ml","In a remote resort, newlyweds Apsara and her husband, Laalu, face a dangerous bet with the wealthy moneylender, Madhavan, who seeks to claim Apsara. Over the course of seven days, Madhavan attempts to seduce her through discussions of an ancient book on lust. Meanwhile, Apsara, determined to remain faithful, battles his advances. The outcome of the bet hinges on her ability to resist his manipulation and maintain her resolve.","72.802","0","0.0","0","0"
"857598","Movie","Pushpa 2 - The Rule","Sukumar","Allu Arjun, Rashmika Mandanna, Fahadh Faasil, Jagadeesh Bandari, Rao Ramesh","India","2024-12-04","2024","6.762","","Action, Drama, Thriller, Crime","te","As his smuggling empire grows, a brazen Pushpa longs for power and respect on his vengeful journey, while facing old rivals and new.","70.314","63","6.762","63000000","199000000"
"1252470","Movie","Sikandar Ka Muqaddar","Neeraj Pandey","Jimmy Shergill, Avinash Tiwary, Tamannaah Bhatia, Divya Dutta, Rajeev Mehta","India","2024-11-29","2024","5.6","","Thriller, Crime, Mystery, Action","hi","After an unsolved diamond heist, a hard-nosed cop’s pursuit of his key suspect turns into obsession, until they finally face each other — and the truth.","54.844","44","5.6","0","0"
"801688","Movie","Kalki 2898-AD","Nag Ashwin","Amitabh Bachchan, Prabhas, Deepika Padukone, Kamal Haasan, Saswata Chatterjee","India","2024-06-26","2024","6.4","","Drama, Action, Fantasy, Science Fiction","te","In the year 2898 AD, around 6000 years after Kurukshetra war, Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.","52.383","115","6.4","75000000","141000000"
"605722","Movie","Distant","Will Speck, Josh Gordon","Anthony Ramos, Naomi Scott, Kristofer Hivju, Zachary Quinto, Izzy Jones","United States of America, India","2024-07-12","2024","5.9","","Science Fiction, Comedy, Action","en","After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor – a woman who is trapped in her escape pod.","51.921","88","5.9","0","0"
"1163194","Movie","Lost Ladies","Kiran Rao","Nitanshi Goel, Pratibha Ranta, Sparsh Shrivastava, Ravi Kishan, Chhaya Kadam","India","2024-03-01","2024","7.7","","Comedy, Drama, Romance","hi","In 2001, somewhere in rural India, two young brides get accidentally swapped on a train. In the ensuing chaos, they both encounter a host of colourful characters, resulting in hilarious and unexpected consequences.","48.805","87","7.7","0","0"
"1219158","Movie","Lover","Prabhuram Vyas","Manikandan, Sri Gouri Priya Reddy, Kanna Ravi, Harini Sundararajan, Harish Kumar","India","2024-02-07","2024","7.2","","Romance, Drama","ta","An alcoholic designer struggles to save his six-year relationship while facing personal challenges and misunderstandings. As their bond is tested, he begins to confront his past and question whether love alone is enough to hold them together.","43.669","10","7.2","0","0"
"1192209","Movie","Noah's Ark","Alois Di Leo, Sérgio Machado","Rodrigo Santoro, Alice Braga, Marcelo Adnet, Keith Silverstein, Ian James Corlett","Brazil, India","2024-01-05","2024","6.9","","Animation, Music, Comedy, Fantasy, Family","pt","A pair of mice attempt to board Noah's Ark: Vini, a charismatic poet with terrible stage fright, and Tito, a talented and charming guitarist. When the rains come, only one male and one female of each species is allowed on Noah's Ark. With the help of an ingenious cockroach and fate's good luck, Vini and Tito sneak their way onto the Ark and together avert a showdown among the ships carnivores and plant eaters. All the while, the animals perform a series of classic songs inspired by world renowned poet, Vinicius de Moraes. Can these talented stowaways use music to break the tension and help these cooped up creatures survive the 40 days and 40 nights together?","38.463","94","6.9","0","2162345"
"1186350","Movie","Marco","Haneef Adeni","Unni Mukundan, Siddique, Ishan Shoukath, Jagadish, Abhimanyu Thilakan","India","2024-12-20","2024","6.6","","Action, Crime, Thriller","ml","The adoptive son of the Adattu family, Marco, sets off on a ruthless quest for vengeance after his brother is brutally murdered, finding only betrayal, loss and unimaginable brutality at every step.","34.38","21","6.6","3467987","11559958"
"927547","Movie","All We Imagine as Light","Payal Kapadia","Kani Kusruti, Divya Prabha, Chhaya Kadam, Hridhu Haroon, Azees Nedumangad","India, France, Luxembourg, Netherlands, Italy","2024-09-21","2024","6.9","","Drama","ml","In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend. A trip to a beach town allows them to find a space for their desires to manifest.","32.33","117","6.9","0","3010117"
