"genre","avg_sentiment"
"Horror","-0.0705827350028504"
"Thriller","-0.04169674761096324"
"Crime","-0.014146585885802268"
"Action","-0.011891253226043272"
"Adventure","0.03472030632781231"
"Drama","0.05175839893709242"
"Animation","0.07591853050952194"
"Comedy","0.08589226344754801"
"Family","0.0986834254963316"
"Romance","0.11802447291365531"
